"ID","MonthlyIncome"
"1",5745.17452201738
"2",2613.24306939815
"3",12178.4984935686
"4",2038.47709016316
"5",2375.15701284383
"6",6191.66836621541
"7",5392.99876176993
"8",2018.90207928756
"9",2529.63017101678
"10",12610.3014883818
"11",9779.10979930264
"12",2596.75663818176
"13",5874.80026023458
"14",5726.78492609614
"15",6232.42969330232
"16",5936.27207828872
"17",6025.35432009037
"18",6101.68889745412
"19",5365.17653041315
"20",2814.4790442621
"21",5636.17333737602
"22",8685.21372766499
"23",8734.4615239546
"24",5623.71198895386
"25",9794.08807480425
"26",9096.52939559515
"27",8835.96731002885
"28",15659.3892860248
"29",5930.63019224206
"30",2746.74440615282
"31",2574.82001992524
"32",5985.8545845298
"33",6287.06765591955
"34",2721.51940824242
"35",16390.6890774817
"36",5547.30592090496
"37",9333.42779110764
"38",6178.33901364625
"39",2355.70413118647
"40",2652.18184154624
"41",19127.8365803128
"42",2765.19064619066
"43",2508.27769353089
"44",12923.445207827
"45",6142.65435831633
"46",5153.90537689562
"47",2599.59426095885
"48",5884.56420407048
"49",2507.94537551497
"50",2800.13244322838
"51",2632.07163608609
"52",2301.23468139409
"53",5431.79990639632
"54",5399.35351044777
"55",16677.7429462293
"56",2483.08422126128
"57",5991.79027657905
"58",13119.761452977
"59",1842.38508604724
"60",2382.64426013593
"61",5822.0275297021
"62",12798.4826397488
"63",8819.16361340547
"64",2269.89333395185
"65",2353.25859049603
"66",2272.34434903212
"67",9338.08405053063
"68",9239.04297103447
"69",5926.77970284866
"70",2448.46645534319
"71",3020.26549752429
"72",8893.43502321747
"73",9428.51105093858
"74",5952.53849405665
"75",2351.48751775171
"76",5837.83188454698
"77",2532.95856956165
"78",2446.29317207554
"79",2650.16269214097
"80",5590.86721635657
"81",2548.22294574509
"82",5879.17269182049
"83",6065.34081130415
"84",2242.00753565365
"85",4967.4145085943
"86",8414.33467895133
"87",10411.6946452689
"88",1953.49001946543
"89",9342.5641310762
"90",19917.1410270429
"91",2685.90635515787
"92",5493.61654778003
"93",6143.33270548886
"94",5754.3619963243
"95",2645.88334115286
"96",19229.7734335955
"97",2461.93128993867
"98",9030.33803349435
"99",16533.1889669465
"100",2421.06269977531
"101",5860.90928434793
"102",6041.99677403512
"103",2326.0434186055
"104",2545.43896011887
"105",5905.73076406766
"106",2661.52693340582
"107",6683.19093909216
"108",2677.16505126895
"109",8995.72719531021
"110",19170.9031560765
"111",2497.23845551792
"112",9030.0645303311
"113",2468.07713849786
"114",2633.82237175653
"115",5965.48890901742
"116",2595.08882473877
"117",2442.37865446997
"118",5974.47699824448
"119",9071.35186119839
"120",2657.07839731697
"121",5846.58919765418
"122",2696.96206620268
"123",5800.33419037099
"124",5787.55561347683
"125",5372.67079686964
"126",5771.85218604771
"127",2444.51278340293
"128",16535.4506766469
"129",8880.07364590546
"130",2186.45077548763
"131",6132.25288717712
"132",5306.11149383211
"133",5702.61970163513
"134",6688.43183164465
"135",2781.55071174094
"136",6044.20390983239
"137",2464.41598496381
"138",6116.21503551139
"139",19036.966544176
"140",5780.57570013278
"141",9250.87179949321
"142",5813.63717181731
"143",6061.50571008335
"144",5200.33110902132
"145",5692.6088389893
"146",2495.935689667
"147",2540.62750964891
"148",8844.17954464707
"149",8893.19097507425
"150",2145.60931648227
"151",6021.87483022955
"152",5553.44430646465
"153",5543.51180233884
"154",9347.53930822821
"155",15937.7575500077
"156",18537.5730771382
"157",5859.29310935586
"158",5793.31735819203
"159",5830.15938069744
"160",9226.2820270416
"161",5888.86518345529
"162",2953.78719142974
"163",12783.6901501086
"164",2550.19617077029
"165",4966.78073629968
"166",2571.1551707703
"167",5669.47252505442
"168",8851.1348147967
"169",12909.5401865355
"170",6057.19508380114
"171",2141.42789808719
"172",2850.72486074244
"173",8788.23616872697
"174",6380.75509740257
"175",2224.60574473075
"176",2177.21537574518
"177",6153.63723135705
"178",12641.9876889634
"179",2643.60083889742
"180",5954.99139506823
"181",10019.2124991196
"182",2133.33911472273
"183",6006.56490773712
"184",2699.48044489722
"185",2652.43087878267
"186",2558.55360415731
"187",6019.19598695795
"188",15957.94174988
"189",6155.09101918721
"190",2793.94100379416
"191",5813.24197327608
"192",6081.32715655373
"193",6172.46660069742
"194",2577.59944909879
"195",5934.33929554728
"196",2468.32666103091
"197",3433.23965355225
"198",19343.2240593623
"199",5678.74784742662
"200",2630.07685227242
"201",2593.31040496601
"202",6120.81120698959
"203",2442.87097155455
"204",6038.39934055901
"205",5866.05895634566
"206",16417.3604795264
"207",19025.4546018646
"208",5397.72304792358
"209",5699.39503983698
"210",5760.01507284217
"211",2952.91724025195
"212",2674.32516853632
"213",2323.15538248537
"214",6291.15645218097
"215",8619.72079781461
"216",8972.68375520123
"217",5963.28194208037
"218",2868.98879751895
"219",2798.7009516405
"220",5791.77606845006
"221",5752.17161910688
"222",5740.53314957594
"223",12621.6098927494
"224",5852.23534407326
"225",5533.99366594689
"226",6142.6488839265
"227",3290.84671900971
"228",2561.4688271718
"229",2432.91301365879
"230",6143.94526902619
"231",18782.4018366658
"232",5955.96627612983
"233",5859.94586979418
"234",9989.83096730928
"235",2934.65877786527
"236",2616.11792554795
"237",2790.54153816291
"238",5754.22812559483
"239",5483.59526565849
"240",5825.47415155106
"241",5759.12307383219
"242",13133.473738824
"243",13046.9134734839
"244",6323.04775597935
"245",9430.71507193989
"246",2560.86935464786
"247",6716.77659840437
"248",4947.67117130026
"249",9527.32209435245
"250",2572.10376312881
"251",9318.63546620093
"252",16189.5745196795
"253",5521.35704127247
"254",15801.9510207067
"255",2466.86604161811
"256",2265.67124612725
"257",2233.2607573749
"258",5256.75848851433
"259",16279.5349993752
"260",2455.13682105314
"261",12760.504949645
"262",16170.1952247505
"263",6156.02124850224
"264",2152.08926708983
"265",2560.12679879973
"266",2551.79887249731
"267",2926.39556992738
"268",5765.78530015418
"269",9027.35492463398
"270",15673.3340016501
"271",5994.66271197035
"272",6160.91470663431
"273",9708.92701689185
"274",5863.85198940861
"275",5863.53171421961
"276",5879.70502759005
"277",5284.64428681253
"278",2355.14319689594
"279",2599.59426095885
"280",6200.4412040273
"281",2489.46781189247
"282",5936.70054248446
"283",5845.48206812223
"284",2192.49975334796
"285",6216.71056049554
"286",12251.595534222
"287",2610.79848713368
"288",5989.79007868529
"289",2727.0493570481
"290",6196.91983657007
"291",2789.95691055667
"292",9053.19123204657
"293",2310.18956380563
"294",9107.34653288656
"295",2499.78231042381
"296",1998.6460958923
"297",9163.0124063352
"298",5778.27207951989
"299",2685.20607574804
"300",2694.79247855592
